	lang	ref_caption	gen_caption
375	iw	אלמאס כאלוף ה-NXT לצד זלינה וגה באירוע NXT TakeOver: New Orleans	גבר עם חולצה שחורה עומדת ליד גבר אחר.
376	iw	"אריק לביא מימין וספי ריבלין משמאל בסרט ""השגעון הגדול"". (צילם יוני המנחם)"	אריק לביא, כזמר
377	iw	"המבנה האטומי של תת-היחידה 50S בריבוזום. החלבונים מוצגים בכחול ושני מקטעי הרנ""א בכתום וצהוב.[19] במרכז בירוק מצוין האתר הפעיל."	סרטן עם צבעים ירוקים וצהובים
378	iw	גיירג' דוז'ה בתחריט על עץ מאת דיולה דרקוביץ' משנת 1928	מלחמת האיכרים בראשות גיירג' דוז'ה
379	iw	תצפית על רובעי קופקבנה ואיפנמה מפסגת הר הסוכר	אזור: ריו דה ז'ניירו
380	iw	ג'ק דורסי עם הנשיא ברק אובמה, יולי 2011	ג'ק דורסי, כותרת מקטע: ביוגרפיה
381	iw	שיבולת-שועל	שם הקטע: חמשת מיני דגן
382	iw	לווייתן כחול על גבי בול של איי פארו	דף אוכלוסייה ותפוצה כיום
383	iw	המבשלה שבה עבד מיינור ושבסמוך אליה ירה בג'ורג' מרט	צילום בשחור-לבן של רחוב עם מספר בניינים
384	iw	ספקטרוגרם של שירת לווייתן גדול-סנפיר	תצוגה של מספר רמות רדיו עם מספרים רבים.
385	iw	ההר והאגם בקרבתו	תצפית על הר עם מים סביבו.
386	iw	מרד הדקבריסטים, ציור מאת וסילי פיודורוביץ' טים (Тимм)	מלחמת הדקבריסטים
387	iw	"אנרגיית הקשר כפונקציה של מרחק בין אטומים. הנקודה הנמוכה בגרף מייצגת את ""מרחק ואן-דר-ולס"": המרחק בין אטומים בו קשר זה בחוזקו המקסימלי."	תיאור של תיאור של תיאור של תיאור של תיאור של תיאור של תיאור של ת
388	iw	תמונה שצולמה ממצלמת תחנת החלל מראה את הקרע שנוצר במערך הסולרי 4B	STS-120, כותרת מקטע: חיבור המערך הסולרי
389	iw	מעון הקיץ של עבדאללה פאשא ומבנה המגדלור, ליד מנזר סטלה מאריס בסוף המאה ה-19. מגדלור זה הוחלף מאוחר יותר במגדלור הנמצא שם עכשיו.	ארמון הקיץ של הפאשה והמגדלור
390	iw	פרופיל הר המתאר את מיקומן של סוגי הקרקעות השונות בהתאם לגובה הטופוגרפי	שרשרת קרקעות עם מספר חלקים
391	iw	"תשע ה""ציוויליזציות"" שזוהו על ידי הנטינגטון הן:[6]                מערבית. הערה: הנטינגטון מייחס את ישראל כמקרה מיוחד, ושם אותה בקבוצה נפרדת.      לטינו-אמריקאית. הערה: הנטינגטון מייחס את גיאנה, סורינאם והאיטי כמקרים מיוחדים, ושם אותן בקבוצות נפרדות.      יפנית      סינית      הינדית      אורתודוקסית (תכלת)      אפריקאית (חום). הערה: הנטינגטון מייחס את אתיופיה כמקרה מיוחד, ושם אותה בקבוצה נפרדת.      בודהיסטית (צהוב)      איסלאמית (ירוק). הערה: הנטינגטון מייחס את טורקיה, איראן ואזרבייג'ן כמקרים מיוחדים, ושם אותן בקבוצות נפרדות."	כותרת מקטע: שמונה הציביליזציות על פי הנטינגטון
392	iw	רכבת ההרים בלילה	פסטיבל אוקטוברפסט, פסטיבל אוקטוברפסט, פסטיבל אוקטוברפסט, פסטיבל אוקטובר
393	iw	אנני הרמון, בחווה בקליפורניה, 1911	צילום של יער עם עצים.
394	iw	הדור השלישי	טויוטה קורולה, כותרת מקטע: 1974-1979 הדור השלישי (E30, E40, E50, E
395	iw	כד עתיק שנמצא ביפן, שיצירתו מתוארכת לבין 8,000 ל-10,000 לפני הספירה - בתרבות ג'ומון	זמן ג'ומון
396	iw	"עיתון ""הצבי"" בעריכת בן-יהודה"	עיתון עם כתב עברי ישן
397	iw	מטוסי הספיטפייר, הגיעו למלטה במרץ 1942	מלחמת העולם השנייה, מלחמת העולם הראשונה, מלחמת העולם הראשונה, מלחמת ה
398	iw	מדבקת פנטניל בקצב שחרור של 12 מיקרוגרם לשעה, מודבקת לעור	גבר עם תווית על זרועו.
399	iw	דיוקן אדמונד מורל	מלחמת העולם הראשונה - מלחמת העולם הראשונה - מלחמת העולם הראשונה -
400	iw	"מפת המושבה ""אובנגי שארי"" בשנת 1910. היא כללה אז רק את דרומה של הרפובליקה המרכז אפריקאית של ימינו"	רקע משפחתי וילדותו של ברתלמי בוגנדה.
401	iw	לינגארד במדי מנצ'סטר יונייטד, 2012	ג'סי לינגארד, שחקן כדורגל, משחק כדורגל, כדורגל, כדורגל, כדור
402	iw	ארמון סיבלס - בית העירייה	מבנים ואתרים בעלי חשיבות
403	iw	משפחת המלוכה הדנית ביום הולדתה ה-70 של המלכה, אפריל 2010	המלוכה הדנית, משפחה המלכותית, משפחה המלכותית, משפחה המלכותית, משפחה המל
404	iw	זוג צביונים צהובי-גב בגן החיות.	צביון צהוב-גב, כותרת מקטע: התנהגות ומבנה חברתי
405	iw	"בית הוועד הפועל של ההסתדרות ברחוב אלנבי 115. משכנה של מפקדת ""ההגנה"" הארצית בשנות השלושים"	"כותרת מקטע: ""הגנה"" בשנות ה-30"
406	iw	שארלוט עורכת את הכניסה שלה כאלופת הנשים של סמאקדאון ברסלמניה 34	שארלוט פלייר, כותרת מקטע: סמאקדאון (2016–2019)
407	iw	"מרכבת-מרוץ מברונזה (מבט מקדימה) מתוך קבר אטרוסקי באיטליה, המאה ה-6 לפנה""ס"	קטגוריה:רכבים
408	iw	טרי במדי דאלאס, עולה לסל במשחק מול וושינגטון ויזארדס	ג'ייסון טרי, שחקן כדורסל, משחק כדורסל, משחק כדורסל, משחק כדורסל
409	iw	דיונגיר, היא דאולתאבאד, נכבשה על ידי עלאא אל-דין אלח'לג'י ואבן טע'לק ניסה להפוך אותה לבירתו	שם הספר: סלטנות דלהי
410	iw	שיגור טיל ההאצה שבתוכו הגשושית גלילאו מעל סיפון מעבורת החלל אטלנטיס	גלילאו (גשושית) היא גשושית עם מספר נושאים גדולים.
411	iw	קאלומירה מייצגת את יוון באירוויזיון 2008	שחקנית רוק צועקת על הבמה.
412	iw	הייצוג של 2 בקוביית משחק.	מספר 2 - מספר מספר 2
413	iw	"תרגום התנ""ך ללטינית על ידי סבסטיאן מינסטר, 1534"	ספר עם דפים רבים עם דפים רבים
414	iw	סזארו כאלוף ארצות הברית	סזארו, כותרת מקטע: אליפויות והישגים
415	iw	"הרמטכ""ל אביב כוכבי לוחץ את ידיו של מפקד שייטת ספינות הטילים, גיא גולדפרב"	ראשי המטה הכללי
416	iw	המחליק האמנותי ניקולאי פאנין, שזכה במדליית זהב באולימפיאדת לונדון	ספורט ימי
417	iw	ויקטוריה ואלברט יחד עם חמישה מילדיהם	ויקטוריה, מלכת הממלכה המאוחדת, כותרת מקטע: צאצאיה
418	iw	יצחק כורת ברית עם אבימלך, בעוד עבדי יצחק ורועי גרר מתווכחים על הבארות.	ירושלים במקרא
419	iw	הכנסייה ומספר בתי עץ	עיר עם דגל עתיק גבוה.
420	iw	"ז'אן-בטיסט לולי, ""אבי האופרה הצרפתית"""	צילום של אדם עם תספורת ארוכה.
421	iw	סבסטיאן פרנקס, פנים כנסית סנט גיימס באנטרוורפן, הדמות מימין כנראה דיוקן עצמי.	ציור אדריכלי של קבוצה של אנשים עומדים בפנים של כנסייה.
422	iw	בול של נסיכות מולדובה משנת 1858 ועליו מצוירת קרן דואר	רשימת שירותי הדואר כוללת את קרן הדואר בסמליהם
423	iw	חצבים מבשרים את בוא הסתיו	סתיו בישראל
424	iw	קפה קטה דן, מבט לחוף הים	רצח ארלוזורוב, כותרת מקטע: קטה דן
425	iw	יעה אופני (שופל) ממוגן מדגם CAT-966 של קטרפילר	"צמ""ה"
426	iw	הפירמידה של ג'וסר	ארכיאולוגיה
427	iw	מגדלי פטרונס נותרו מגדלי התאומים הגבוהים בעולם.	רשימת המבנים והבניינים הגבוהים ביותר בעולם
428	iw	טרולדסאלן	חדר עם סולם עם סולם עם סולם עם סולם עם סולם עם
429	iw	שתילים של אשוח חינני גדלים באזור שנחרב בהתפרצות הר הגעש סנט הלנס	יער ירוק עם עץ ירוק גבוה.
430	iw	"שער הספר ""קולו של יעקב"""	טקסט יהודי עם טקסט שחור לבן
431	iw	מערכת S-300VM	חיל הגנת האוויר והחלל של רוסיה, כותרת מקטע: הלוויינים הצבאיים
432	iw	גרעינים נדחסים בתוך קליפת הרימון	צילום זה מראה פתית שלג עם מספר אגוזים גדולים, חלקם חתוכים. הם מופ
433	iw	תבליט פאולוס ואנטוניוס	כותרת מקטע: צלב רותוול
434	iw	קברה של המלכה/מצביאה פֿוּ הָאו. כמות החפצים בקבר מצביעים על חשיבותה של המלכה.	שושלת שאנג, כותרת מקטע: היסטוריה של השושלת
435	iw	ג'ובאני גבריאלי מנגן בלאוטה	מוזיקה רנסאנס, כותרת מקטע: מלחינים חשובים מתקופת הרנסאנס
436	iw	דיוקן שמן של אשתו הראשונה של טיילר, לטישה כריסטיאן טיילר	ג'ון טיילר, כותרת מקטע: משפחתו וחייו
437	iw	"אה""מ Audacious טובעת לאחר שנפגעה ממוקש. סביב האונייה סירות הצלה המפנות את המלחים"	מלחמת העולם הראשונה - 1914: תחילת המערכה
438	iw	הצלב הגדול של צלב הברזל 1939	עץ מלחמה עם עץ מלחמה שחור
439	iw	רחבעם זאבי בפגישה עם אריאל שרון וקציניו, לפני הכניסה למעבר המתלה	מלחמת המיתלה, כותרת מקטע: מלחמת המיתלה
440	iw	זאב ז'בוטינסקי	גבר עם משקפיים עם משקפיים שחור-לבן
441	iw	האנדרטה הלאומית איו ג'ימה שבקונטיקט.	אנדרטת חיל הנחתים של ארצות הברית
442	iw	השוואת גודל: עשרת האסטרואידים הראשונים מושווים אל הירח של כדור הארץ (בקנה מידה). היגאה הוא הראשון מימין	כדור ירוק עם מספרים ירוקים סביבו
443	iw	צילום של ויאדוקט העובר בכביש 77. הויאדוקט עובר מעל מסילת העמק ומעל כביש הגישה ליישוב אלרואי. מאחורי הויאדוקט נמצא תל קשיש, ומחלפו. ימין נמצאת קריית חרושת.	כביש 77 - שם מקטע: צמתים ומחלפים לאורך הכביש
444	iw	נטלה מהודרת מכסף. באמצעותה נוטלים ידיים לפני סעודת לחם ולפני אכילת פרי או ירק שרטוב ממשקה.	כלי זכוכית עם עיצוב עתיק
445	iw	"דורון ערן (משמאל), ראש מועצת הקולנוע מיכה חריש והמדיום אורי גלר, בתערוכה במוזיאון ישראל בירושלים, בה הוצגה מכונית קדילאק מכוסה ב-5000 חלקי סכו""ם, אותם כופף גלר בכוח המחשבה"	קבוצה של אנשים עומדים ליד מכונית עם מספרים.
446	iw	ישנם ממצאים ארכאולוגים רבים הקשורים לאל ת'ור	דת ומיתולוגיה
447	iw	חיילים רגלים ממלוכים חמושים בחרב ואלה. ריקוע נחושת מהמאה ה-13	כותרת מקטע: צבא האימפריה הממלוכית
448	iw	המתופף שון דרובר.	גיטריסט עם מקלדת ליד מקלדת.
449	iw	תצלום תקריב של מנורה זעירה	אורות חג המולד
450	iw	משה לייב ליליינבלום	צילום ישן של גבר עם שיער ארוך.
451	iw	"תלמידים מישיבת טלז, פורים תרצ""ו (1936)"	ישיבת טלז, כותרת מקטע: בוגרים מפורסמים
452	iw	"עטיפת האלבום ""קליגרו"""	אלבום אלבום אלבום אלבום אלבום אלבום אלבום אלבום אלבום אלבום
453	iw	"בחלק האחורי של המכונה, היו חיווטים מורכבים ביותר שחיברו את התופים לפי התצורות שהוכתבו על ידי התפריט. ה""בומב"" המוצגת במוזיאון של בלצ'לי פארק היא שחזור חלקי בלבד של המכונה האמיתית"	היסטוריה ושימושים של בומב
454	iw	פרטים אדריכליים בחזית	בניין פישר, כותרת מקטע: היסטוריה
455	iw	כיבוש טנוצ'טיטלאן	היסטוריה של אמריקה הלטינית, פרק מספר: המושבות הספרדיות
456	iw	מפת הפלישה האיטלקית לסומלילנד הבריטית, אוגוסט 1940	מלחמת העולם השנייה, כותרת מקטע: הפלישה לסומלילנד הבריטית
457	iw	קנדי עם דוד בן-גוריון בעת ביקורו בישראל ב-1951	ג'ון פיצג'רלד קנדי, כותרת מקטע: קנדי והמזרח התיכון
458	iw	"ווקסהול ויוה 1966, מנוע 1057 סמ""ק"	רכב ישן עם פנים ירוקות ליד אנשים.
459	iw	לוח הזיכרון החדש עליו חקוקים שמות הנופלים בקרב כולל יחידות השריון, כמו גם לוחמי גולני שנהרגו בקרבות אחרים במלחמה.	אתר עם מספר דגלים מעל קיר.
460	iw	תחנת הרכבת סאו בנטו	רחוב עם מספר רב של אנשים שעוברים ליד אחד מהם.
461	iw	המשלחת הקנדית בטקס הפתיחה של אולימפיאדת לונדון	קבוצה גדולה של אנשים עומדים על המסלול עם דגלים.
462	iw	ביונסה בסיבוב ההופעות The Beyoncé Experience	ילד בן ארבעה עם חולצה ירוקה עומדת על הבמה.
463	iw	פיאז'ה, 1925	ספרים של פיאז'ה
464	iw	ספינות מלחמה רוסיות בים השחור, 1916	מלחמת העולם הראשונה
465	iw	TAI T129, מסוק תוצרת התעשייה האווירית הטורקית ובשיתוף חברת אוגוסטה ווסטרלנד האיטלקית	חיל האוויר הטורקי
466	iw	"מרדכי (מוטה) גור, מפקד חטיבה 55. תמונה מתקופת כהונתו כרמטכ""ל"	מלחמת ששת הימים, כותרת מקטע: יום שלישי, 6 ביוני, לפנות בוקר, חט
467	iw	עמוד הנצחה מתחת לקשת האנדרטה המרכזית, ועליו שמות נעדרים	אנדרטת תיאפוואל לנעדרי הסום
468	iw	גשר ממלוכי מצפון לעיר, החוצה את נחל איילון, מזמנו של ביברס	כותרת מקטע: ימי הביניים
469	iw	ביתן התזמורת במוזיאון הורנימן בלונדון.	גן ציבורי
470	iw	גנרל לושיוס קליי	רכבת אווירית לברלין, כותרת מקטע: הפעלת הרכבת אווירית לברלין
471	iw	קצינים עם רובי וקטור R5 במצעד ביוהנסבורג, 2010	קבוצה של שוטרים עומדים ליד מכונית משטרה.
472	iw	פגודה מוזהבת בליווי דמותו של הלורד ונקטסווארה, אחת מצורות התגלמותו של האל ההודי וישנו, על גבי מטבע הולנדי מפוליקאט. המאה ה-17 או ה-18 לערך.	קטגוריה:מטבעות
473	iw	ברקוד דו-ממדי עבור זיהוי ממצלמת מכשיר-נייד, בתקן QR המקודד בקוד ריד-סולומון	קוד qr עם מספרים שחורים
474	iw	אמיר גניאל	גבר עם כובע ירוק עומד לצד אדם אחר.
475	iw	פירוט האדם החושב על שער הגיהנום.	אוגוסט רודן, דמות חיים, הוא אחד מבין מספר גדול של דמויות רבות.
476	iw	לוח שנה שוודי - פברואר 1712	דף עם מספרים רבים
477	iw	ג'פרי ראש, זוכה פרס שחקן המשנה הטוב ביותר	גבר עם משקפיים שמח ברחוב.
478	iw	אסטלה מאוגרית. האל בעל. בידו כלי נשק המסמל את הברק: עץ ארז, אלה או חנית שלעיתים מסתיימת בפרח.	סת-בעל הוא דמות מיתולוגית עם מאפיינים חזותיים רבים, אשר מתאימים לתרבות ה
479	iw	פארק עמודי הזית	רמת רחל, רמת רחל, רמת רחל, רמת רחל, רמת רחל,
480	iw	ציור:בעמק האולט	קיר עם מים זורמים מעל רמות גבוהות.
481	iw	משנה תורה בהוצאת מפעל משנה תורה	הספר החדש של ספרי תורה עם כותרת עץ
482	iw	ברטיסלאבה - מתחת לשער מיכאל	שם קטע: קילומטר אפס
483	iw	המבצר הצלבני	מבצר עתלית, כותרת מקטע: הקמת המבצר
484	iw	כביש בינמדינתי 10 החוצה את נהר המיסיסיפי	עיר עם מים רבים מעל מנהרה.
485	iw	קלטות וידאו: למעלה – Betacam SP, למטה – מצד ימין VHS, מצד שמאל – BetaMax	וידאו, סוג: וידאו
486	iw	מעבר ארז בצפון רצועת עזה.	מלחמת העולם הראשונה
487	iw	צביר הרקולס	צביר כדורי עם כוכבים רבים
488	iw	מפגינים באלכסנדריה	קבוצה גדולה של אנשים עומדים בצד הים.
489	iw	ולוורדה עם חולצת המאיץ בוואלטה אספנייה 2013	שם משפחה: אלחנדרו ולוורדה
490	iw	ולריה סוצקוב במהלך תרגיל האלות	ספורטאי ישראל משחק עם כדור רגל באולימפיאדת הנוער של בואנוס איירס 2018.
491	iw	אחד מעיצובי התחרות בעיר מאלמה - שער עם קישוטי סמליל הפרפר ובראשו מחשב המונה את הזמן שנותר לתחרות	כותרת מקטע: התחרות והציבור
492	iw	מפת אבילין משנת 1883	דף היסטורי של עיר עם מספר רחובות.
493	iw	פנים הקתדרלה, הקמרון שמתחת למגדל המרכזי	קתדרלת ליברפול, כותרת מקטע: על הקתדרלה
494	iw	"שלט על הברחתו של ""אלדד"", ברחוב הנביאים 48 בירושלים"	קיר עם דף עם כתובת עברית על הקיר.
495	iw	מסוף האוקיינוס של נמל הונג קונג, דצמבר 2008.	שם הקטע: נמל ויקטוריה
496	iw	"נשיא ארצות הברית רונלד רייגן (משמאל) ומזכ""ל המפלגה הקומוניסטית של ברית המועצות מיכאיל גורבצ'וב, במהלך פגישה בז'נבה ב-1985, המכונה ""פסגת ז'נבה"" (Geneva Summit). שליטי שתי מעצמות-העל נפגשו לראשונה לקראת סופה של המלחמה הקרה, על מנת לערוך דיון בהמשך מרוץ חימוש."	מלחמת העולם הקרה
497	iw	"מלון ""דן אכדיה"" ורצועת החוף שלידו"	קבוצה של אנשים עומדים על החוף ליד מלון.
498	iw	רחל המשוררת בלובשטיין עם חבריה יצחק ושולמית קלוגאי	שולמית קלוגאי, כותרת מקטע: הקשר עם רחל בלובשטיין, המשוררת
499	iw	אוהדי הסנטורס מול בניין עיריית אוטווה כשעליו דגל הסנטורס במהלך סדרת הגמר של 2007	קבוצה גדולה של אנשים עומדים ברחוב.
500	iw	אחד מימי המסחר הידני האחרונים בבורסה, פברואר 1999	קבוצה גדולה של אנשים עומדים בחדר עם מחשבים.
501	iw	חיים בן-עטר, עורך העיתון השני	צילום שחור-לבן של אדם עם משקפיים.
502	iw	שריפת בית הכנסת באייזנך	יום מלחמה שחור לבן
503	iw	דגם המראה את פנים הגלאי הCMS הנמצא בCERN	CMS - CMS - CMS - CMS - CMS - CMS - CMS - CMS
504	iw	רמון קזנובה עם מנוע הבערה הפעימתית שהוא רשם פטנט עליו בשנת 1915 בנפרד מקראבודין הרוסי שרשם פטנט דומה עוד בשנת 1906	שם קטע: נסיונות הנעה סילונית מוקדמים
505	iw	הצדעה במועל יד על ידי הפלנגות הנוצריות	קבוצה של אנשי דת עומדים ברחוב עם דגלים.
506	iw	חיילי הצי האמריקני אוכלים מצה ומרור בליל הסדר	כן, יש לאכול יותר מחצי מצה בליל הסדר.
507	iw	"מכונת זמן הבנויה ממכונית דלוריאן בסרט ""בחזרה לעתיד"""	מסע בזמן - רכב עתיד עם עץ ירוק.
508	iw	ירקן בישראל	מקצוע: שוק חקלאי
509	iw	אירוג'ל כחומר מבודד. פרח המונח מעל שכבת אירוג'ל דקה, אינו מושפע ממבער המונח תחתיו.	צילום של צבע ירוק על גבי גז.
510	iw	"זחל""ם M3 'חצרים' בעל תותח דו קני 20 מ""מ ."	"זחל""ם M3, כותרת מקטע: דגמים"
511	iw	אנדרטה של מוריו במדריד	ברטולומה אסטבן מוריו, כותרת מקטע: הנצחה
512	iw	להקת לווייתני חדשן	קבוצה של צבי ים חיים במים.
513	iw	מצודת קליפורד בה התבצרו היהודים	אירועי הטבח
514	iw	מלון המופעל על ידי המדינה בסיינפואגוס	רחוב עם בית עם שער ירוק.
515	iw	צלף גרמני עם הKar98k	שם עמוד: מאוזר K98, כותרת מקטע: מאוזר 98 בצבאות העולם
516	iw	איור של צביונים צהובי-גב משנת 1948.	צביון צהוב-גב, כותרת מקטע: איומים ושימור
517	iw	תא הפיקוד (CM) של אפולו 7, מוצג במוזיאון Frontiers of Flight(אנ') בטקסס	רכבת אווירית עם כלי טיס ישן ליד חדר מוזיאון.
518	iw	תוואיי חומות ירושלים השונות: חומת תקופת בית שני וחומת ירושלים העות'מאנית (על פי ירושלים וכל נתיבותיה, יד בן צבי)	ירושלים היא עיר עתיקה עם מספר רב של בתי כנסיות.
519	iw	וישוואנתן אנאנד ובוריס גלפנד	משחקים - משחקים - משחקים - משחקים - משחקים - משחקים -
520	iw	מגדל מוזיאון רוקפלר	מוזיאון רוקפלר, כותרת מקטע: תכנון המוזיאון
521	iw	התפרצות של פסגת לָאסֶן	צילום שחור-לבן של וולקן עם אפר שחור
522	iw	מבט פנורמי על האגם, צילום שנעשה בחודש נובמבר ממרכז המבקרים (Rim Village). במהלך החורף מפנות מפלסות את הדרך עד למרכז המבקרים, אבל הכביש סובב הקלדרה (Rim Drive) סגור	הפארק הלאומי קרייטר לייק, אזור אקלים: חם
523	iw	פיטר ברויגל, האב: נוף עם הבריחה למצרים, 1563	צילום של נוף יפה של ארץ עם מים.
524	iw	רבנים בבגדאד 1906: עומדים מימין לשמאל: הרב יחזקאל עזרא, הרב אליה בסא, הרב שמעון מרדכי, הרב ששון כדורי, הרב יהודה פתייה, הרב חיים מועלם. יושבים מימין לשמאל: הרב שמואל אברהם מג'לד, עזרא כהן, משה חיים שמאש, אברהם הלל, ששון שמוחה ויצחק אברהם מג'לד.	יהדות ארצות האסלאם
525	iw	עם הגביע בסיום ראלי גרמניה 2011 - המרוץ שסימן את הקרע עם סבסטיאן לב	גבר עם תואר עם תואר עם תואר עם תואר עם תואר עם
526	iw	"בית הכנסת ""מגן שלמה"" שהוקם על שם בנו הבכור של אהרן אוזן, שנפל במלחמת ההתשה"	רכבת עומדת בצד של קיר עם עץ.
527	iw	צ'ארלס וינסלו	טניס באולימפיאדת סטוקהולם 1912
528	iw	מיינדרט הובמה, חורש וחווה, 1665	חיים הובמה
529	iw	התיכון היהודי בו למדו אנה פרנק וחנה גוסלר	דמות ילדה של חנה גוסלר, דמות ילדה של חנה גוסלר, דמות ילדה של
530	iw	עגנון נהג לכתוב בעודו עומד ליד דוכן הכתיבה מול החלון	לוח עם עטיפה ירוקה ליד ספרים.
531	iw	יום העצמאות 1954: ראש המועצה אוסטרובסקי נואם בפני תושבי רעננה על יד האנדרטה לזכר חללי רעננה (כיום: בחזית בית הנוער בעיר)	קבוצה של אנשים עומדים ליד אנדרטה.
532	iw	צילום לווין של יוון	יוון - אזור גיאוגרפי עם מספר מדינות.
533	iw	הצי המוסלמי מפליג אל כרתים	כותרת מקטע: צבאות מוסלמיים במזרח התיכון בימי הביניים
534	iw	מפת השטח שסופח על ידי ירדן לאחר מלחמת העצמאות ונכבש על ידי ישראל במלחמת ששת הימים	מצב משפטי ביהודה ושומרון
535	iw	השער המזרחי של הארמון	ארמון בלנהיים, כותרת מקטע: תכנון הארמון
536	iw	ריקודי עם מסורתיים של חג אמצע הקיץ	קבוצה של אנשים עומדים ברחוב עם דגלים.
537	iw	קפבלנקה (משמאל) במשחק מול בוטביניק, 1936	שני שחקנים משחקים שחמט במשחק שחמט
538	iw	"אלוף מיכה רם יו""ר העמותה 2006-2003."	אתר אינטרנט של עמותת בוגרי קציני הים
539	iw	"מגדל השעון - נבנה לרגל מלאת 25 שנים לשלטון הסולטאן במהלך התקופה העות'מאנית בארץ ישראל ""עבדול חמיד השני"". בנייתו הושלמה ב-1906"	ירושלים, ירושלים, ירושלים, ירושלים, ירושלים, ירושלים, ירושלים, ירושלים, ירושלים, ירושלים,
540	iw	נקודה קריטית של מים	תיאור של זרימה חנוקה בנוזלים
541	iw	שרידי מחנה F של הלגיון העשירי למרגלות מצדה	צילום אווירי של עיר עם מספר בתי עץ.
542	iw	"ה""חזרזירים"""	קבוצה של אנשים עם חולצות צבעוניות עומדים ליד קיר.
543	iw	מסלע בהרי אחגר, אלג'יריה	קבוצה של רמות ענקיות של רמות ענקיות של רמות ענקיות של רמות ענק
544	iw	פרנסיסקו פרנקו. אף כי בתחילה לא הייתה מנהיגות ברורה ללאומנים, פרנקו הפך עד מהרה למנהיג הבלתי מעורער של מחנהו.	מלחמת האזרחים בספרד
545	iw	קערת אוכל מעותרת מימי האימפריה.	חברה
546	iw	האנדרטה להנצחת קהילת וידין המוצבת בעיר	יהדות וידין, כותרת מקטע: לאחר עצמאות בולגריה
547	iw	"מטוס אימון מתקדם T-38 טאלון דו-מנועי על-קולי של טייסת הדרכה של חיל האוויר האמריקאי. ניתן להבחין בתצורת ה""טנדם"""	מטוס אימון
548	iw	האצטדיון בעת בנייתו, 2006	אצטדיון האמירויות, כותרת מקטע: אשבורטון גרוב
549	iw	לילית אמריקנית, הדומה ללילית המנוקדת	מאפיינים גופניים וטקסונומיה של לילית מנוקדת הם גדולים, גדולים, גדולים, גדולים,
550	iw	חיילי צבא אוסטרליה במשימת שמירת שלום במזרח טימור	צבא אוסטרליה, כותרת מקטע: כוח אדם
551	iw	בול דואר של המושבה הבריטית גמביה	כותרת עמוד: גמביה, כותרת מקטע: מושבה בריטית
552	iw	"תיאור מראשית המאה ה-20 המתארת את קולומבה הקדוש מבצע נס בפתח מצודת המלך ברידיי הראשון. אירוע זה מתואר בספר ""חיי קלומבה"" ספרו של אדומנאן שנכתב במאה השביעית."	דת: דת קתולי
553	iw	שחפית הקוטב	עץ שחור עם עץ אדום הוא סוג של עץ שחור.
554	iw	קראגר ב-2011	ג'יימי קראגר, שחקן כדורגל, שחקן כדורגל, שחקן כדורגל, שחק
555	iw	בדיקת PET משמשת גם לדימות מוחי. בתנאים שאינם תנאי רעב, מקור האנרגיה העיקרי למוח הוא גלוקוז, כשכ-120 גרם מתוך 160 גרם הצריכה היומית של גלוקוז באדם בוגר נצרכת על ידי המוח.	גליקוליזה וסרטן
556	iw	התיאטרון הלאומי הקרואטי על שם איוואן זייץ'	כותרת מקטע: השער הישן וכיכר קאזלישני
557	iw	ההלל הראשון באוניברסיטת אילינוי באורבנה-שמפיין בבניינו הנוכחי. הבניין נחנך בשנת 2008	משרד משפטים עם דגל שחור.
558	iw	"בית הקולנוע ""קוסמוס"" שביקטרינבורג, 2007"	סרט - סרט - סרט - סרט - סרט - סרט - סרט - סרט
559	iw	תרמית פירמידה במכתב שרשרת	היסטוריה - היסטוריה - היסטוריה - היסטוריה - היסטוריה - היסטוריה -
560	iw	"גרף המציג את מספר החותמים בתוך ארבעה ימים על העצומה הנגדית - ""A Scientific Support for Darwinism"" (תמיכה מדעית בדרוויניזם), 7,733 מדענים, מתוכם 3,385 ביולוגים."	טבלת עם מספר גבוה של תלמידים עם תואר אוניברסיטה
561	iw	"מחשב VAX 6220, בתצורת השרת האופיינית בגובה 154 ס""מ ובעומק ורוחב של 78 ס""מ. בצד שמאל למעלה ניתן להבחין בכונן קלטות גיבוי מובנה TK70."	שרת VAX, סוג שרת: שרתים בינוניים וגדולים
562	iw	מפה של טריטוריית מינסוטה (1849 - 1858)	אזור מינסוטה הוא אזור היסטורי עם מספר עירות רבות.
563	iw	"הציור ""After P.M.""‏ (1989) מאת מיכל נאמן שבמרכזו הדימוי של ""עץ הזאבים""."	"כותרת עמוד: איש הזאבים, כותרת מקטע: פנקייב ו""איש הזאבים""."
564	iw	מפה של רמלה מתוך ספרו של ז'אן זואלארט, 1587	רמלה, כותרת מקטע: שגשוג
565	iw	אתלרד השני, מלך אנגליה, בעלה הראשון של אמה מנורמנדיה	אמה מנורמנדיה, כותרת מקטע: נישואיה לאתלרד השני.
566	iw	דאגרוטיפ של סמואל מורס, ממציא הטלגרף, מכר של דאגר, צלם חובב בזכות עצמו, ומראשוני הצלמים בארצות הברית. צולם בסביבות שנת 1845.	צילום ישן של אדם עם פנים יפות.
567	iw	מושלמת בפריז בנייתו של שער הניצחון	צילום של אנדרטת האור, עם אנשים רבים סביבה
568	iw	ג'ין הקמן, שחקן המשנה הטוב ביותר.	טקס פרסי האוסקר ה-65, כותרת מקטע: זכיות ומועמדויות
